user_id,message,date
1,App crashes when login,2025-01-01
2,Great app very smooth,2025-01-02
3,App is very slow,2025-01-03
4,Please add dark mode feature,2025-01-04
5,Login not working properly,2025-01-05
6,Amazing app I love it,2025-01-06
7,Too many bugs in the app,2025-01-07
8,Interface is confusing,2025-01-08
9,Very fast and reliable,2025-01-09
10,App crashes frequently,2025-01-10
11,Good experience overall,2025-01-11
12,Slow loading time,2025-01-12
13,Feature request add notifications,2025-01-13
14,App not opening properly,2025-01-14
15,Excellent design and UI,2025-01-15
16,Performance is very poor,2025-01-16
17,Please improve login system,2025-01-17
18,Great features and usability,2025-01-18
19,App has many errors,2025-01-19
20,Very useful application,2025-01-20
